1;a;1;Ser capaz de identificar una situación presente o futura como problemática.
1;a;2;Ser capaz  de identificar  y organizar los datos  pertinentes  al problema.
1;a;3;Ser capaz  de evaluar  el contexto  particular  del problema e incluirlo en el análisis.
1;a;4;Ser capaz  de delimitar  el problema y formularlo de manera clara y precisa.
1;b;1;Ser capaz  de generar  diversas alternativas  de solución a un problema ya formulado.
1;b;2;Ser capaz de desarrollar criterios profesionales para la evaluación de las alternativas y seleccionar la más adecuada en un contexto particular.
1;b;3;Ser capaz de valorar el impacto sobre el medio ambiente y la sociedad, de las diversas alternativas de solución.
1;c;1;Ser capaz  de realizar  el diseño  de la solución  tecnológica, incluyendo el modelado.
1;c.2;Ser capaz de incorporar  al diseño las dimensiones del problema (tecnológica, temporal, económica, financiera, medioambiental, social, etc.) que sean relevantes en su contexto específico.
1;c;3;Ser capaz de planificar la resolución (identificar el momento oportuno  para el abordaje,  estimar  los  tiempos  requeridos, prever las ayudas necesarias, etc.).
1;c;4;Ser capaz de optimizar la selección y uso de los materiales y/o dispositivos tecnológicos disponibles para la implementación.
1;c;5;Ser capaz  de elaborar informes,  planos,  especificaciones  y comunicar recomendaciones.
1;c;6;Ser capaz de controlar el proceso de ejecución
1;d;1;Ser capaz  de controlar  el propio desempeño  y saber  cómo encontrar los recursos necesarios para superar dificultades.
1;d;2;Ser capaz de establecer supuestos, de usar técnicas eficaces de resolución y de estimar errores.
1;d;3;Ser capaz  de monitorear,  evaluar y ajustar  el proceso  de resolución del problema.
1;d;4;Ser capaz de usar lo que ya se conoce;  identificar lo que es relevante conocer, y disponer de estrategias para adquirir los conocimientos necesarios
2;a;1;Ser capaz de relevar las necesidades y traducirlas a entes mensurables.
2;a;2;Ser capaz de seleccionar las tecnologías apropiadas.
2;a;3;Ser capaz de generar alternativas de solución.
2;a;4;Ser capaz de desarrollar criterios profesionales para la evaluación de las alternativas y seleccionar las más adecuadas en un contexto particular.
2;a;5;Ser capaz de documentar y comunicar de manera efectiva las soluciones seleccionadas.
2;b;1;Ser capaz de definir los alcances de un proyecto.
2;b;2;Ser capaz de especificar las características técnicas del objeto del proyecto, de acuerdo a las normas correspondientes.
2;b;3;Ser capaz de seleccionar, especificar y usar los enfoques, técnicas, herramientas y procesos de diseño adecuados al proyecto, sus metas, requerimientos y restricciones.
2;b;4;Ser capaz de modelar el objeto del proyecto, para su análisis (simulación, modelos físicos, prototipos, ensayos, etc.).
2;b;5;Ser capaz de evaluar y optimizar el diseño.
